player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,download_date,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Marc Guéhi,877994,Manchester City,17,england,2526,2520,28,28,7.28,2,2,4,3.58,2.03,66,3,23.08,245,63,39.87,658,863,1521,88.33,82,68.91,37,0,0,0,118,5,6,7,10,137,28,0,0,13,20260326,10,81,1,0,18,0,7.41,36,30,23,7,2,0,,67,60.36,1,0,2,201,39,14,0,0,18,0,0,0,0,0.0,0,0,0,1,247,4,0,0,1,0,0,0,0,0,0,1260.0,0.0,0,26,1,13,7,5,55.56,0,37,24,64.86,14,136,9,13,149,64.78,158,799,923,1722,203.7,27,4,2116,25,5,0
James Garner,927361,Everton,48,england,2526,2784,31,31,7.27,2,6,8,1.91,4.77,30,40,23.95,398,50,49.02,729,530,1259,87.8,23,65.71,12,0,0,0,152,11,0,11,11,75,31,0,0,12,20260326,31,97,0,1,28,0,4.88,0,35,32,3,1,1,,139,62.05,0,0,1,175,50,44,0,0,8,0,0,0,0,0.0,0,0,0,0,387,10,0,0,2,0,0,0,0,0,0,1392.0,0.0,10,14,27,18,12,16,51.61,0,93,53,56.99,44,61,31,167,162,62.55,102,842,592,1434,225.5,41,2,2145,30,7,0
Jérémy Doku,934386,Manchester City,17,england,2526,1230,22,13,7.27,1,4,5,1.83,4.72,4,13,29.55,233,10,62.5,336,76,412,83.74,3,33.33,6,0,0,0,57,10,4,8,1,0,22,0,0,38,20260326,5,111,0,0,17,0,4.55,0,13,10,3,0,1,,118,52.91,0,0,1,80,10,43,0,3,0,0,1,0,0,0.0,0,0,0,2,262,12,0,0,1,0,0,0,0,0,0,1230.0,0.0,0,16,6,6,8,63,57.8,0,16,11,68.75,42,6,109,44,121,52.16,16,408,84,492,159.9,22,3,880,40,0,0
Virgil van Dijk,151545,Liverpool,44,england,2526,2790,31,31,7.26,3,0,3,2.66,1.11,75,0,0.0,372,126,49.61,1000,1086,2086,89.15,147,75.77,47,0,0,0,69,0,6,4,9,233,31,0,0,1,20260326,1,60,2,1,14,0,13.64,112,42,35,7,3,0,,37,74.0,2,0,0,254,20,11,0,1,17,0,0,0,1,0.0,0,0,0,0,274,1,0,0,0,0,0,0,0,0,0,930.0,0.0,0,20,2,8,10,2,100.0,0,20,11,55.0,11,135,2,1,184,75.41,254,1204,1136,2340,225.1,22,3,2732,15,4,0
Granit Xhaka,117777,Sunderland,41,england,2526,2273,27,25,7.24,1,5,6,0.71,2.36,78,18,24.32,308,109,54.23,611,491,1102,82.49,52,67.53,25,0,0,0,128,7,0,5,7,76,27,0,0,13,20260326,15,81,0,3,18,0,7.14,0,27,23,4,0,1,,74,56.92,0,0,1,234,23,28,1,0,17,0,0,0,0,0.0,0,0,0,0,338,6,0,0,0,0,0,0,0,0,0,2273.0,0.0,2,4,10,4,5,7,36.84,0,38,24,63.16,28,146,19,74,126,60.87,201,796,540,1336,195.5,14,2,1723,31,5,0
Moisés Caicedo,987650,Chelsea,38,england,2526,2185,26,25,7.23,3,1,4,1.28,2.04,55,2,28.57,326,47,64.38,781,683,1464,92.25,12,34.29,23,0,0,0,141,3,1,9,5,22,26,0,1,14,20260326,23,111,0,3,41,0,13.64,0,32,30,2,1,2,,126,58.88,0,0,0,123,52,14,0,0,14,0,1,0,1,0.0,0,0,0,0,177,7,0,1,3,0,0,0,0,0,0,728.33,0.0,0,6,16,6,7,10,50.0,0,76,42,55.26,13,89,20,7,138,55.42,73,868,719,1587,188.0,22,1,1943,40,9,0
Jack Grealish,189061,Everton,48,england,2526,1631,20,18,7.23,2,6,8,2.15,3.57,18,10,25.64,238,18,56.25,347,135,482,84.12,4,17.39,19,0,0,0,87,5,4,12,5,11,20,0,0,30,20260326,10,104,0,2,13,0,7.69,0,23,21,2,1,1,,102,54.55,0,0,1,91,12,40,1,0,6,0,2,0,0,0.0,0,0,0,0,227,16,0,1,1,0,0,0,0,0,0,815.5,0.0,0,19,7,6,8,23,40.35,0,21,15,71.43,38,29,57,39,106,50.48,32,416,157,573,144.6,26,3,932,58,3,1
Bukayo Saka,934235,Arsenal,42,england,2526,2001,27,22,7.21,6,3,9,6.99,5.76,15,36,32.43,300,14,36.84,419,105,524,76.72,22,44.9,27,0,0,0,105,9,8,22,7,10,27,0,0,29,20260326,15,140,0,1,28,0,9.52,0,16,11,5,6,0,,136,54.62,1,0,1,159,14,54,3,14,0,0,2,1,0,100.0,0,1,0,0,362,25,0,0,2,0,0,0,0,0,0,333.5,0.0,2,47,16,15,26,49,53.26,0,36,17,47.22,52,36,92,111,158,53.02,38,557,126,683,194.8,63,4,1236,51,1,0
Harry Wilson,355528,Fulham,43,england,2526,2276,29,27,7.21,10,6,16,5.07,4.18,35,25,26.04,225,31,56.36,365,172,537,80.51,3,15.0,17,0,0,0,71,7,0,23,2,40,29,0,0,19,20260326,17,75,0,0,11,1,15.15,0,32,29,3,7,3,,68,53.97,0,0,1,130,13,31,9,10,2,0,0,0,0,0.0,0,0,0,0,267,9,0,0,1,0,0,0,0,0,0,227.6,20.0,5,39,27,19,24,13,54.17,0,24,16,66.67,31,58,24,96,71,48.63,55,463,204,667,209.1,66,6,1071,31,6,0
Rayan Cherki,979128,Manchester City,17,england,2526,1316,25,14,7.21,3,8,11,2.47,6.62,39,19,32.76,335,22,46.81,580,236,816,86.08,1,14.29,6,0,0,0,76,15,1,13,2,6,25,0,0,27,20260326,17,104,0,1,13,0,9.09,0,13,10,3,2,1,,91,48.15,0,0,1,132,7,43,0,1,1,0,1,0,0,0.0,0,0,0,0,282,15,0,0,3,0,0,0,0,0,0,438.67,0.0,2,24,9,12,8,37,47.44,0,24,17,70.83,42,71,78,58,92,46.94,47,690,258,948,180.2,33,2,1311,30,1,0
Reece James,885908,Chelsea,38,england,2526,1896,27,20,7.2,2,4,6,1.01,3.14,43,30,24.39,295,56,55.45,578,554,1132,88.99,30,65.22,16,0,0,0,96,8,0,9,4,39,27,0,0,13,20260326,10,76,1,3,27,1,9.52,0,20,20,0,1,1,,77,56.2,0,0,2,140,32,27,0,1,6,0,0,0,0,0.0,0,0,0,0,285,7,0,0,2,0,0,0,0,0,0,948.0,14.29,7,4,17,6,6,10,50.0,0,47,32,68.09,27,88,20,123,107,58.47,101,672,600,1272,194.4,21,3,1777,20,4,0
Rúben Dias,318941,Manchester City,17,england,2526,2059,25,23,7.2,2,0,2,0.56,0.62,34,3,33.33,229,47,50.0,722,848,1570,93.01,58,65.17,31,0,0,0,70,0,1,3,11,115,25,0,0,3,20260326,2,53,0,2,14,0,20.0,15,20,14,6,1,1,,24,52.17,0,0,0,118,22,6,0,0,17,0,0,0,0,0.0,0,0,0,0,134,2,0,0,2,0,0,0,0,0,0,1029.5,0.0,0,6,4,3,4,3,50.0,0,13,6,46.15,6,72,6,9,82,60.74,94,797,891,1688,180.0,10,3,1945,9,3,0
Kiernan Dewsbury-Hall,861970,Everton,48,england,2526,2013,24,23,7.2,6,3,9,3.32,4.06,10,14,15.05,288,21,42.86,471,198,669,83.31,16,45.71,19,0,0,0,96,8,1,9,5,24,24,0,0,36,20260326,9,100,0,1,25,0,20.0,0,25,23,2,6,0,,99,55.0,0,0,1,134,9,27,4,1,3,0,0,0,1,0.0,0,0,0,0,303,16,0,0,2,0,0,0,0,0,0,335.5,0.0,0,22,8,10,11,21,58.33,0,40,19,47.5,27,25,36,93,115,53.49,49,574,229,803,172.7,30,3,1240,39,6,0
Dominik Szoboszlai,869856,Liverpool,44,england,2526,2603,29,29,7.19,5,3,8,3.86,5.17,66,53,32.52,567,108,59.67,962,622,1584,87.37,16,51.61,15,0,1,0,160,7,3,17,7,51,29,0,1,20,20260326,31,110,1,4,28,4,8.62,0,41,34,7,1,4,,93,49.47,0,0,1,229,23,58,0,1,8,0,0,1,0,0.0,0,0,0,0,425,15,0,1,5,0,0,0,0,0,0,520.6,33.33,12,13,45,22,19,23,58.97,0,44,29,65.91,58,118,39,163,109,49.77,181,1114,699,1813,208.6,58,4,2477,26,7,0
Marcos Senesi,830659,Bournemouth,60,england,2526,2660,30,30,7.19,0,4,4,1.39,4.11,124,7,30.43,264,153,39.13,607,829,1436,77.5,74,48.68,78,0,0,0,123,6,2,4,8,220,30,0,0,12,20260326,22,139,0,2,27,0,0.0,65,47,41,6,0,0,,80,56.74,0,0,0,417,47,21,0,1,37,0,0,0,0,0.0,0,0,0,0,487,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,9,7,7,5,3,60.0,0,50,30,60.0,21,277,5,23,154,52.56,391,925,928,1853,215.6,16,3,2418,28,8,0
James Tarkowski,145188,Everton,48,england,2526,2700,30,30,7.18,1,1,2,2.3,1.27,59,2,28.57,123,82,40.8,352,668,1020,80.44,125,71.02,51,0,0,0,71,1,4,4,11,204,30,0,0,1,20260326,12,87,1,6,23,0,6.67,75,33,30,3,1,0,,70,66.04,1,0,0,248,27,15,0,2,41,0,1,0,1,0.0,0,0,0,0,275,3,0,0,0,0,0,0,0,0,0,2700.0,0.0,0,15,0,4,7,4,57.14,0,39,23,58.97,14,147,7,7,195,69.15,201,546,722,1268,215.5,15,3,1715,30,5,0
Mateus Fernandes,1142562,West Ham United,37,england,2526,2399,29,28,7.16,3,3,6,1.25,2.25,52,12,26.09,242,77,61.11,532,520,1052,87.81,14,51.85,13,0,0,0,143,2,0,8,3,29,29,0,0,29,20260326,35,130,0,4,41,0,13.64,0,42,38,4,2,1,,144,55.17,1,0,1,146,30,29,0,0,11,0,0,0,0,0.0,0,0,0,0,260,14,0,0,2,0,0,0,0,0,0,799.67,0.0,0,6,16,9,5,23,63.89,0,81,55,67.9,29,99,36,46,158,54.86,126,641,557,1198,207.5,22,1,1652,40,6,0
Youri Tielemans,331737,Aston Villa,40,england,2526,1322,18,15,7.15,0,4,4,0.99,2.61,30,9,30.0,220,42,63.64,442,255,697,84.59,14,48.28,15,0,0,0,71,4,2,6,2,13,18,0,0,11,20260326,16,67,0,1,22,0,0.0,0,17,15,2,0,0,,75,59.06,0,0,0,127,11,27,0,1,10,0,0,0,0,0.0,0,0,0,0,187,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0,7,10,7,4,9,69.23,0,40,24,60.0,27,62,13,30,89,57.05,66,540,284,824,128.7,17,1,1072,27,0,0
Ethan Ampadu,847097,Leeds United,34,england,2526,2493,28,28,7.14,1,1,2,1.81,2.0,38,9,36.0,221,63,50.0,544,624,1168,84.88,49,67.12,24,0,0,0,148,1,2,7,4,67,28,0,0,10,20260326,14,84,0,3,36,0,5.0,0,41,36,5,1,0,,105,63.64,0,0,0,208,39,16,0,0,14,0,1,0,1,0.0,0,0,0,0,367,12,0,0,1,0,0,0,0,0,0,2493.0,0.0,0,8,12,8,5,10,66.67,0,69,38,55.07,15,74,15,25,154,64.71,126,694,682,1376,199.9,20,3,1904,28,7,0
Anton Stach,889861,Leeds United,34,england,2526,2142,26,25,7.13,4,3,7,2.55,4.33,43,41,30.6,232,40,54.79,410,274,684,78.8,43,62.32,26,0,0,0,111,9,1,22,5,48,26,0,0,24,20260326,21,124,0,1,32,3,8.33,0,34,30,4,1,3,,93,48.69,0,0,0,184,19,58,0,0,9,0,0,0,1,0.0,0,0,0,0,357,22,0,0,4,0,0,0,0,0,0,535.5,42.86,7,19,29,13,13,18,46.15,0,57,32,56.14,58,76,39,134,136,52.31,73,549,319,868,185.3,48,3,1384,20,3,0
Casemiro,122951,Manchester United,35,england,2526,2152,29,28,7.12,7,2,9,4.66,2.91,84,3,21.43,259,69,51.88,589,500,1089,81.03,46,47.42,51,0,0,0,117,4,5,14,1,50,29,0,0,11,20260326,37,143,0,2,41,0,16.28,0,24,23,1,6,1,,104,53.06,6,0,1,255,23,28,0,3,17,0,0,0,0,0.0,0,0,0,0,314,7,0,1,1,0,0,0,0,0,0,307.43,0.0,0,25,18,15,14,6,50.0,0,71,36,50.7,28,138,12,14,150,51.19,133,762,582,1344,206.6,43,2,1758,27,8,1
Ryan Gravenberch,904897,Liverpool,44,england,2526,2521,29,29,7.12,4,3,7,1.65,2.03,19,0,0.0,405,21,31.34,855,592,1447,89.32,24,57.14,18,0,0,0,116,4,0,12,9,46,29,0,0,22,20260326,12,99,0,2,30,0,12.9,0,34,29,5,2,2,,112,58.03,0,0,1,173,41,24,1,0,10,0,0,0,0,0.0,0,0,0,0,274,9,0,0,3,0,0,0,0,0,0,630.25,0.0,0,7,24,10,9,26,57.78,0,50,31,62.0,24,39,45,5,136,57.87,67,978,642,1620,206.6,31,3,2048,36,5,0
Enzo Fernández,974505,Chelsea,38,england,2526,2583,30,29,7.12,8,3,11,10.42,5.97,64,10,15.38,459,72,58.06,871,577,1448,86.34,23,51.11,22,0,0,0,118,10,8,16,5,27,30,0,0,36,20260326,30,147,0,0,30,0,13.33,0,35,32,3,8,0,,98,43.95,1,0,3,229,17,52,0,1,1,0,1,2,0,100.0,0,2,0,0,405,8,0,0,7,0,0,0,0,0,0,322.88,0.0,4,38,22,17,27,11,26.83,0,48,21,43.75,51,124,41,65,121,45.15,124,1048,629,1677,213.7,60,1,2153,39,8,0
Boubacar Kamara,826204,Aston Villa,40,england,2526,1418,18,17,7.12,1,3,4,0.49,0.86,37,0,0.0,198,31,67.39,392,330,722,88.26,36,64.29,20,0,0,0,65,0,2,3,2,20,18,0,0,15,20260326,19,88,0,3,17,0,14.29,0,15,14,1,0,1,,80,54.05,0,0,0,96,18,15,1,0,8,0,0,0,0,0.0,0,0,0,0,145,5,0,0,0,0,0,0,0,0,0,1418.0,0.0,0,5,2,0,4,14,45.16,0,37,17,45.95,15,61,31,2,116,56.86,46,461,357,818,128.2,7,0,1048,30,5,0
Cristian Romero,829932,Tottenham Hotspur,33,england,2526,1802,22,21,7.11,4,1,5,1.27,1.25,36,0,0.0,102,46,48.42,309,647,956,87.23,70,72.16,27,0,0,0,86,4,1,2,4,90,22,0,1,6,20260326,11,75,1,2,29,0,25.0,16,30,26,4,4,0,,77,61.6,3,0,0,140,28,11,0,1,14,0,1,0,0,0.0,0,0,0,0,167,2,0,2,1,0,0,0,0,0,0,450.5,0.0,0,15,1,8,6,8,80.0,0,55,27,49.09,10,63,10,1,147,66.22,95,404,692,1096,156.4,16,4,1399,14,8,1
Pascal Groß,48480,Brighton & Hove Albion,30,england,2526,1006,12,11,7.11,1,1,2,0.79,2.26,28,24,33.33,142,24,52.17,252,264,516,83.77,8,40.0,12,0,0,0,47,2,1,4,2,19,12,0,0,3,20260326,8,40,0,1,10,0,9.09,0,8,7,1,1,0,,36,56.25,0,0,0,100,8,21,0,4,4,0,0,0,0,0.0,0,0,0,0,173,10,0,0,1,0,0,0,0,0,0,1006.0,0.0,0,5,6,3,4,6,42.86,0,19,11,57.89,21,55,14,72,44,52.38,46,329,287,616,85.3,11,0,822,11,2,0
Cole Palmer,982780,Chelsea,38,england,2526,1426,20,18,7.11,9,1,10,8.59,1.89,16,3,11.11,216,31,65.96,332,179,511,83.91,0,0.0,2,0,0,0,63,3,4,13,2,9,20,0,0,24,20260326,8,76,0,0,12,0,20.0,0,22,21,1,9,0,,64,46.38,0,0,0,98,12,20,9,1,0,0,1,5,0,100.0,0,5,0,0,215,14,0,0,0,0,0,0,0,0,0,158.44,0.0,3,28,17,13,19,19,38.0,0,20,11,55.0,19,29,50,27,64,45.71,47,411,198,609,142.1,45,2,894,25,4,0
Ibrahima Konaté,826215,Liverpool,44,england,2526,2487,29,29,7.1,1,0,1,1.06,0.9,42,1,33.33,212,59,48.36,673,883,1556,89.48,100,71.94,39,0,0,0,92,2,2,3,7,162,29,0,0,5,20260326,8,83,0,3,30,0,10.0,20,34,28,6,1,0,,83,65.35,0,0,0,183,23,7,0,0,20,0,0,0,1,0.0,0,0,0,0,215,1,0,0,1,0,0,0,0,0,0,2487.0,0.0,0,9,1,4,3,5,71.43,0,47,25,53.19,7,85,7,3,183,68.8,122,790,949,1739,206.0,10,4,2133,32,6,0
João Pedro,975079,Chelsea,38,england,2526,2323,31,27,7.1,14,5,19,13.54,1.91,13,1,7.14,173,11,52.38,310,163,473,76.66,65,48.15,70,0,0,0,65,6,11,18,3,26,31,0,0,48,20260326,4,182,0,0,32,0,22.22,0,27,25,2,14,0,,97,46.41,3,0,0,144,5,28,5,14,5,0,0,0,0,0.0,0,0,0,3,332,14,0,0,6,0,0,0,0,0,0,165.93,0.0,0,55,8,18,27,27,45.0,0,25,16,64.0,28,26,60,14,162,47.09,21,422,195,617,220.1,63,3,1088,46,4,0
Walter Benítez,249859,Crystal Palace,7,england,2526,90,1,1,7.1,0,0,0,,0.0,0,0,0.0,2,5,35.71,4,14,18,66.67,0,0.0,0,0,0,0,9,0,0,0,1,1,1,0,0,0,20260326,0,0,0,0,0,0,0.0,11,0,0,0,0,0,0.36,0,0.0,0,1,0,9,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,9,0,1,0,0,0,2,1,3,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0.0,14,10,17,27,7.1,0,0,36,0,0,0
Stefan Ortega,125274,Nottingham Forest,14,england,2526,270,3,3,7.1,0,0,0,,0.02,5,0,0.0,5,23,52.27,10,37,47,69.12,1,100.0,0,0,0,0,8,0,0,0,1,1,3,0,0,0,20260326,0,0,0,0,0,0,0.0,14,4,4,0,0,0,1.01,0,0.0,0,0,0,21,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,21,0,1,0,0,1,7,1,8,0,0,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,8,0,0,1,100.0,44,29,39,68,21.3,0,0,81,0,0,0
Fabian Schär,101882,Newcastle United,39,england,2526,1091,16,11,7.1,0,0,0,0.98,0.61,37,1,25.0,78,71,46.1,240,432,672,84.42,46,63.01,27,0,0,0,43,0,2,4,4,71,14,0,0,1,20260326,6,48,0,3,15,0,0.0,4,13,10,3,0,0,,20,48.78,0,0,1,124,18,4,0,1,12,0,0,0,0,0.0,0,0,0,0,138,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2,7,10,9,4,0,0.0,0,14,10,71.43,4,90,1,4,66,57.89,154,336,460,796,99.4,17,1,975,6,1,0
